,Index,Subject,Block,Trial,TrialType,LeftContext,RightContext,LeftItem,RightItem,LeftRank,RightRank,D_Ranks,LeftValue,RightValue,D_Value,Choice,Correct,ChoiceRT,ITI,LeftTragetLoc,RightTragetLoc,LeftContext1,LeftContext2,RightContext1,RightContext2,att,LeftContext1_val,LeftContext2_val,RightContext1_val,RightContext2_val
101,102,201,2,12,Hl,Low,High,Wine,Beer,28,25,3,15.5,12.03,3.47,2,0,483.21,943.8,1,3,Flashlight,Chocolate,Popcorn_Machine,White_Wine,0,3.8,1.7,30,29.96666667
102,103,201,2,13,Hh,High,Low,Stove,Flight_Pillow,44,12,32,23.4,5.73,17.67,1,1,549.85,999.38,3,3,Computer_Tray,Popcorn_Machine,Newton_Cradle,Flashlight,0,29.1,30,1.333333333,3.8
103,104,201,2,14,Hh,High,Low,Coffee_Machine,Picnic_Cooler,48,36,12,26.23,17.73,8.5,1,1,383.19,988.2,1,1,Pulse_Clock,Whiskey,Pizza,Stormtrooper_USB,0,30,30,2.166666667,3.366666667
104,105,201,2,15,Hh,Low,High,Tea_Box,Parker_Pen,24,35,-11,11.43,17.63,-6.2,1,0,566.54,1108.71,2,1,Flashlight,Pointer,Pulse_Clock,Sushi_Kit,0,3.8,0.733333333,30,30
105,106,201,2,16,Hh,Low,High,Mouse,Penknife,26,42,-16,14.1,19.83,-5.73,2,1,349.82,1163.8,2,3,Flashlight,Chocolate,Computer_Tray,Pan,0,3.8,1.7,29.1,28.9
106,107,201,2,17,Hl,High,Low,Mentos,Picnic_Cooler,18,36,-18,9.1,17.73,-8.63,2,1,633.13,921.22,2,1,Whiskey,Vodka,Newton_Cradle,Chocolate,0,30,30,1.333333333,1.7
107,108,201,2,18,Hl,High,Low,Box_Pig,Iron,40,46,-6,19,24.47,-5.47,1,0,483.02,1063.23,2,1,Computer_Tray,Pulse_Clock,Chocolate,Pointer,0,29.1,30,1.7,0.733333333
108,109,201,2,19,Hl,High,Low,Body_Scale,Camping_Chair,23,37,-14,10.7,18.07,-7.37,2,1,733.34,1066.4,2,1,Computer_Tray,Vodka,Newton_Cradle,Stormtrooper_USB,0,29.1,30,1.333333333,3.366666667
109,110,201,2,20,Hl,High,Low,Carpet_Candy,Beer,17,25,-8,8.57,12.03,-3.47,1,0,833.2,893.29,3,3,Computer_Tray,Whiskey,Pizza,Gold_USB,0,29.1,30,2.166666667,0.5
110,111,201,2,21,hh,High,High,Measuring_Tape,Kinder,11,10,1,5.13,4.63,0.5,1,1,916.51,906.86,3,2,Pan,White_Wine,White_Wine,Pulse_Clock,0,28.9,29.96666667,29.96666667,30
111,112,201,2,22,Hl,Low,High,Stove,Parker_Pen,44,35,9,23.4,17.63,5.77,1,1,833.24,894.55,2,3,Chocolate,Gold_USB,Whiskey,Vodka,0,1.7,0.5,30,30
112,113,201,2,23,Hl,High,Low,Parker_Pen,Penknife,35,42,-7,17.63,19.83,-2.2,2,1,1116.53,890.39,1,3,Computer_Tray,Sushi_Kit,Pizza,Pointer,0,29.1,30,2.166666667,0.733333333
113,114,201,2,24,Hl,Low,High,Penknife,Mouse,42,26,16,19.83,14.1,5.73,1,1,999.68,934.99,3,1,Stormtrooper_USB,Chocolate,Pan,Vodka,0,3.366666667,1.7,28.9,30
